#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
音游,3,2,1
抑郁,3,2,1
绳子,3,1,2
圈,3,1,2
孤独,3,1,2
爱,3,2,1
回忆,3,2,1
甜蜜,3,2,1
浪漫,3,2,1
刑,3,2,1
窗外,3,2,1
手机,3,1,2
MIX4,3,1,2
二维码,3,2,1
群聊,3,2,1
短命,3,2,1
邻居,3,2,1
儿时,3,2,1
色彩,3,2,1
希望,3,1,2
朋友,3,2,1
家庭,3,2,1
sout,3,2,1
假日,3,2,1
懒惰,3,2,1
白日梦,3,1,2
珊瑚色,3,1,2
冥冥之中,3,2,1
床,3,2,1
难言之隐,3,2,1
爷的痛你懂吗,3,1,2
害怕,3,1,2
温暖,3,2,1
花朵,3,2,1
哭泣,3,2,1
舞蹈,3,2,1
noface,3,2,1
cry,3,1,2
大笑,3,2,1
阴霾,3,1,2
阳光,3,2,1
雨与云,3,2,1
雾,3,1,2
笨蛋,3,2,1
飞翔,3,2,1
完美的,3,2,1
自杀,3,1,2
玫瑰,3,1,2
一起,3,2,1
诺言,3,2,1
拥抱,3,2,1
美丽,3,2,1
蝴蝶结,3,2,1
笑容,3,2,1
破碎,3,1,2
邀请,3,2,1
明知故问,3,1,2
忍受,3,2,1
蚌埠住了,3,1,2
未来,3,2,1
海洋,3,2,1
谐音梗,3,2,1
sad,3,2,1
音乐,3,2,1
幸运,3,2,1
特别,3,1,2
卧室,3,2,1
杂乱,3,1,2
虫洞,3,1,2
半人马座,3,2,1
一血,3,2,1
赤足,3,2,1
受伤,3,1,2
绳索play,3,2,1
空,3,2,1
SunnyDoll,3,1,2
忍让,3,1,2
惊奇的,3,2,1
犯傻,3,1,2
反杀,3,1,2
渺茫,3,2,1
惊讶,3,2,1
defeat,3,1,2
毫无希望,3,1,2
离开,3,1,2
再见,3,2,1
记忆,3,2,1
回忆,3,2,1

#Natsuki's words
可爱,2,3,1
福瑞控,2,3,1
纯真,1,3,2
糖果,2,3,1
剁手,2,3,1
狗子,2,3,1
主子,2,3,1
云朵,2,3,1
歪脖子树,1,3,2
呕吐,2,3,1
草莓,2,3,1
粉色,2,3,1
巧克力,2,3,1
心跳,1,3,2
kiss,1,3,2
旋律,2,3,1
矮,2,3,1
家暴,2,3,1
doki-doki,2,3,1
卡哇伊,2,3,1
短裙,2,3,1
饼干,2,3,1
发卡,2,3,1
高粱饴,2,3,1
老八,2,3,1
吃的,2,3,1
打码,2,3,1
幻想,1,3,2
砂糖,2,3,1
giegie~,2,3,1
棉花糖,2,3,1
hop,2,3,1
跳跃,2,3,1
年轻的父亲,2,3,1
spinning,2,3,1
him,2,3,1
棒棒糖,2,3,1
汪汪,2,3,1
狗子,2,3,1
喵星人,2,3,1
大热天,2,3,1
大瀑布,1,3,2
泳池play,2,3,1
香草,2,3,1
蓝牙耳机,2,3,1
van游戏,2,3,1
袜子,2,3,1
海飞丝,2,3,1
撒尿和泥,2,3,1
派对,1,3,2
水果,1,3,2
牛奶,2,3,1
菠萝,2,3,1
萝莉,2,3,1
爸爸,2,3,1
矮个子,2,3,1
夏树,1,3,2
ANIME,2,3,1
番剧,2,3,1
二刺螈,2,3,1
漫画,2,3,1
跳跃,2,3,1

#Yuri's words
泪目,1,1,3
血泪,2,1,3
被害妄想症,2,1,3
爷黑化了,2,1,3
毛玻璃,1,1,3
第三只眼,2,1,3
二郎神,1,1,3
爷死了,1,1,3
ger屁,1,1,3
麻痹,1,1,3
黑化,1,1,3
草泥马,1,1,3
自慰,2,1,3
钢笔,2,1,3
血迹,2,1,3
苍穹,1,1,3
牢狱,1,1,3
下界传送门,1,1,3
飘飘长发,1,1,3
哼哼哼,1,1,3
啊啊啊,1,1,3
就当是一场梦,2,1,3
印记,1,1,3
刺痛,2,1,3
快感,2,1,3
狼藉,2,1,3
未来,1,1,3
绯红之王,1,1,3
毁灭,1,1,3
末日,2,1,3
过往,1,1,3
病娇,2,1,3
自残,2,1,3
手臂,2,1,3
刀,1,1,3
眼神,2,1,3
慌张,1,1,3
毛衣,2,1,3
搓头发,1,1,3
回眸,2,1,3
梦,2,2,3
时针,2,1,3
无疑,2,1,3
紫色,1,2,3
问题,1,2,3
审判,2,1,3
崩坏,1,1,3
射了,1,2,3
浏览器,1,2,3
窥探,1,2,3
不干净,1,2,3
痕迹,1,2,3
零,1,2,3
凌迟,1,2,3
SJDKWNDKANKJNDAK,1,1,3
躺,2,1,3
三天,2,1,3
三夜,2,1,3
时间,2,1,3
血迹,2,1,3
哈哈哈哈啊哈哈哈哈,2,1,3
暴雨,2,1,3
电闪,1,1,3
认知,1,1,3
障碍,2,1,3
冥,2,1,3
祭,2,1,3
死于刀下,1,1,3
LetMeCutMe,2,1,3
小鱼儿,2,1,3
炽热,2,1,3
冰冷,2,1,3
猎奇,2,1,3
尖锐,2,1,3
一边看一边冲,1,2,3
三天三夜,2,1,3
三更半夜,1,2,3
说话不能停歇,2,1,3
